# Copyright (C) 2018  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details.

# Quartus Prime Version 18.1.0 Build 625 09/12/2018 SJ Lite Edition
# File: C:\Users\alijh\Documents\ECE 385\ECE385-Lab2\output_files\ECE385-Lab2-pin-assignments.csv
# Generated on: Wed Feb 02 21:49:22 2022

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Strict Preservation
AhexL[6],Output,PIN_B22,6,B6_N0,PIN_B11,,,,,,
AhexL[5],Output,PIN_C22,6,B6_N0,PIN_E13,,,,,,
AhexL[4],Output,PIN_B21,6,B6_N0,PIN_H12,,,,,,
AhexL[3],Output,PIN_A21,6,B6_N0,PIN_A11,,,,,,
AhexL[2],Output,PIN_B19,7,B7_N0,PIN_A10,,,,,,
AhexL[1],Output,PIN_A20,7,B7_N0,PIN_D14,,,,,,
AhexL[0],Output,PIN_B20,6,B6_N0,PIN_B14,,,,,,
AhexU[6],Output,PIN_E17,6,B6_N0,PIN_AB8,,,,,,
AhexU[5],Output,PIN_D19,6,B6_N0,PIN_AA14,,,,,,
AhexU[4],Output,PIN_C20,6,B6_N0,PIN_B8,,,,,,
AhexU[3],Output,PIN_C19,7,B7_N0,PIN_Y20,,,,,,
AhexU[2],Output,PIN_E21,6,B6_N0,PIN_M18,,,,,,
AhexU[1],Output,PIN_E22,6,B6_N0,PIN_B21,,,,,,
AhexU[0],Output,PIN_F21,6,B6_N0,PIN_T21,,,,,,
Aval[3],Output,,,,PIN_C16,,,,,,
Aval[2],Output,,,,PIN_C13,,,,,,
Aval[1],Output,,,,PIN_A14,,,,,,
Aval[0],Output,,,,PIN_B16,,,,,,
BhexL[6],Output,PIN_C17,7,B7_N0,PIN_A18,,,,,,
BhexL[5],Output,PIN_D17,7,B7_N0,PIN_C18,,,,,,
BhexL[4],Output,PIN_E16,7,B7_N0,PIN_D15,,,,,,
BhexL[3],Output,PIN_C16,7,B7_N0,PIN_E14,,,,,,
BhexL[2],Output,PIN_C15,7,B7_N0,PIN_A15,,,,,,
BhexL[1],Output,PIN_E15,7,B7_N0,PIN_F15,,,,,,
BhexL[0],Output,PIN_C14,7,B7_N0,PIN_H14,,,,,,
BhexU[6],Output,PIN_B17,7,B7_N0,PIN_K22,,,,,,
BhexU[5],Output,PIN_A18,7,B7_N0,PIN_B3,,,,,,
BhexU[4],Output,PIN_A17,7,B7_N0,PIN_D22,,,,,,
BhexU[3],Output,PIN_B16,7,B7_N0,PIN_R12,,,,,,
BhexU[2],Output,PIN_E18,6,B6_N0,PIN_H17,,,,,,
BhexU[1],Output,PIN_D18,6,B6_N0,PIN_Y16,,,,,,
BhexU[0],Output,PIN_C18,7,B7_N0,PIN_F20,,,,,,
Bval[3],Output,,,,PIN_J12,,,,,,
Bval[2],Output,,,,PIN_J13,,,,,,
Bval[1],Output,,,,PIN_C11,,,,,,
Bval[0],Output,,,,PIN_C14,,,,,,
Clk,Input,PIN_P11,3,B3_N0,PIN_M8,,,,,,
Din[3],Input,PIN_C12,7,B7_N0,PIN_A19,,,,,,
Din[2],Input,PIN_D12,7,B7_N0,PIN_A16,,,,,,
Din[1],Input,PIN_C11,7,B7_N0,PIN_C10,,,,,,
Din[0],Input,PIN_C10,7,B7_N0,PIN_E12,,,,,,
Execute,Input,PIN_A7,7,B7_N0,PIN_D12,,,,,,
F[2],Input,,,,PIN_J11,,,,,,
F[1],Input,,,,PIN_A17,,,,,,
F[0],Input,,,,PIN_A7,,,,,,
LED[3],Output,,,,PIN_B12,,,,,,
LED[2],Output,,,,PIN_B15,,,,,,
LED[1],Output,,,,PIN_A13,,,,,,
LED[0],Output,,,,PIN_H13,,,,,,
LoadA,Input,PIN_F15,7,B7_N0,PIN_C15,,,,,,
LoadB,Input,PIN_B14,7,B7_N0,PIN_A20,,,,,,
R[1],Input,,,,PIN_A12,,,,,,
R[0],Input,,,,PIN_C12,,,,,,
Reset,Input,PIN_B8,7,B7_N0,PIN_D13,,,,,,
